Name,res_type,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,lasso_gamma
HyperXu,Regular KFs,7.135705798532623e-07,0.9999998042526862,0.0007091598314358078,0.0551206614738409,0.0
HyperXu,Sparse KFs with gamma=0.0001,6.550838735396803e-07,0.9999998189798095,0.000911817808698741,0.048818643474096035,0.0001
HyperXu,Sparse KFs with gamma=0.001,2.15642763755412e-08,0.9999999940518497,0.00019054950149217302,0.0113816684622457,0.001
HyperXu,Sparse KFs with gamma=0.01,1.2068469376146267e-06,0.9999996665321533,0.0013030892507062918,0.05131017218404734,0.01
HyperXu,Sparse KFs with gamma=0.1,4.295020774885418e-05,0.9999882434347421,0.0052185159562957335,0.3392566176071144,0.10000000000000002
HyperXu,Sparse KFs with gamma=1.0,1.3036459703992422e-07,0.9999999647132595,0.00043840343178327463,0.02371948309418113,1.0
HyperXu,Sparse KFs with gamma=10.0,1.0606648637809439e-08,0.9999999971002635,0.00012058608760114352,0.008312656103700035,10.0
HyperXu,Trained Gaussian kernel,0.0002614042321308131,0.9999245206357971,0.0021654811523796,1.0311760977825202,0.0
HyperXu,Random Initialization,9.467741929667056,-1.7337703581308368,0.3094179679816531,150.63688485214638,0.0
HyperXu,Gaussian kernel with sigma=0.5,0.0712205024319026,0.9794353817535488,0.0221427258916726,19.15364676353666,0.0
HyperYan,Regular KFs,1.2431135504689241e-05,0.9999930762840866,0.0046468213579399665,0.22821721710908816,0.0
HyperYan,Sparse KFs with gamma=0.0001,5.396682299573154e-09,0.9999999969893144,0.00010895694211938158,0.0056387473025124,0.0001
HyperYan,Sparse KFs with gamma=0.001,8.281588947376496e-06,0.999995328701965,0.0013163700931268334,0.17791517852861696,0.001
HyperYan,Sparse KFs with gamma=0.01,7.959289240251108e-07,0.9999995566844841,0.00026662534742646665,0.053662235299964334,0.01
HyperYan,Sparse KFs with gamma=0.1,1.6185251530695771e-06,0.9999990878106773,0.0004780772524756547,0.09396693490496029,0.10000000000000002
HyperYan,Sparse KFs with gamma=1.0,4.964796603933401e-06,0.9999971995690641,0.00022858273522292265,0.13555529733836022,1.0
HyperYan,Sparse KFs with gamma=10.0,3.888515609966247e-07,0.9999997829909031,0.000134844690307333,0.0388112755109808,10.0
HyperYan,Trained Gaussian kernel,0.009215492545760434,0.9949316464566421,0.003067396148434933,6.139359200174991,0.0
HyperYan,Random Initialization,0.0353196175722117,0.9805748517528212,0.1059474192324942,9.834080606795233,0.0
HyperYan,Gaussian kernel with sigma=0.5,0.0317624291257414,0.9825312407985,0.0102461213383988,12.269298597435478,0.0
HyperYangChen,Regular KFs,3.754615002766079e-07,0.9999998835572477,0.0006446838426811667,0.031014691254289368,0.0
HyperYangChen,Sparse KFs with gamma=0.0001,8.614592433251796e-07,0.9999997320718479,0.0014055303159294667,0.05779223776765613,0.0001
HyperYangChen,Sparse KFs with gamma=0.001,2.0608167110132526e-08,0.9999999936030853,0.00022928601369006667,0.010284129454455832,0.001
HyperYangChen,Sparse KFs with gamma=0.01,8.741862658731383e-09,0.9999999972834956,0.00017645317539246666,0.006885760270788067,0.01
HyperYangChen,Sparse KFs with gamma=0.1,3.158630298007721e-08,0.9999999902013307,0.0002846630157903582,0.011690891671049067,0.10000000000000002
HyperYangChen,Sparse KFs with gamma=1.0,9.614394990481042e-09,0.9999999970151818,0.00010531779867245727,0.007129194466380634,1.0
