System,Optimization method,Metric,Value
ArnoldWeb,Regular KFs,MSE,4.714292750110086e-05
ArnoldWeb,Regular KFs,Hausdorff Distance,0.4130075834492667
ArnoldWeb,Regular KFs,SMAPE,0.001908052381787
ArnoldWeb,Sparse KFs with gamma=0.0001,MSE,2.4427928409670772e-05
ArnoldWeb,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.3433451390013999
ArnoldWeb,Sparse KFs with gamma=0.0001,SMAPE,0.0015020494498636
ArnoldWeb,Sparse KFs with gamma=0.001,MSE,3.962517081010917e-05
ArnoldWeb,Sparse KFs with gamma=0.001,Hausdorff Distance,0.419281193635716
ArnoldWeb,Sparse KFs with gamma=0.001,SMAPE,0.0025820872208304
ArnoldWeb,Sparse KFs with gamma=0.01,MSE,4.592639249114337e-05
ArnoldWeb,Sparse KFs with gamma=0.01,Hausdorff Distance,0.4596659044482176
ArnoldWeb,Sparse KFs with gamma=0.01,SMAPE,0.0029910398212974
ArnoldWeb,Sparse KFs with gamma=0.1,MSE,3.2369482569631005e-05
ArnoldWeb,Sparse KFs with gamma=0.1,Hausdorff Distance,0.3867678482453696
ArnoldWeb,Sparse KFs with gamma=0.1,SMAPE,0.0017936689467173
ArnoldWeb,Sparse KFs with gamma=1.0,MSE,1.715741390307882e-05
ArnoldWeb,Sparse KFs with gamma=1.0,Hausdorff Distance,0.2948513507359502
ArnoldWeb,Sparse KFs with gamma=1.0,SMAPE,0.0012338395773387
ArnoldWeb,Sparse KFs with gamma=10.0,MSE,1.7251986756899164e-05
ArnoldWeb,Sparse KFs with gamma=10.0,Hausdorff Distance,0.2909659476132418
ArnoldWeb,Sparse KFs with gamma=10.0,SMAPE,0.0014775228165665
ArnoldWeb,Trained Gaussian kernel,MSE,11.813920972794032
ArnoldWeb,Trained Gaussian kernel,Hausdorff Distance,268.8010806422062
ArnoldWeb,Trained Gaussian kernel,SMAPE,0.5073114237158989
ArnoldWeb,Random Initialization,MSE,4373.618976664325
ArnoldWeb,Random Initialization,Hausdorff Distance,736.9808408819324
ArnoldWeb,Random Initialization,SMAPE,0.4652094378923423
ArnoldWeb,Gaussian kernel with sigma=0.5,MSE,4.772596951356166
ArnoldWeb,Gaussian kernel with sigma=0.5,Hausdorff Distance,171.40642196375757
ArnoldWeb,Gaussian kernel with sigma=0.5,SMAPE,0.2420228200879494
AtmosphericRegime,Regular KFs,MSE,0.0001395921778198
AtmosphericRegime,Regular KFs,Hausdorff Distance,0.8695580086831706
AtmosphericRegime,Regular KFs,SMAPE,0.0051588095016092
AtmosphericRegime,Sparse KFs with gamma=0.0001,MSE,0.0001255734120962
AtmosphericRegime,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.707911277730291
AtmosphericRegime,Sparse KFs with gamma=0.0001,SMAPE,0.0138427952166259
AtmosphericRegime,Sparse KFs with gamma=0.001,MSE,5.905195221041779e-05
AtmosphericRegime,Sparse KFs with gamma=0.001,Hausdorff Distance,0.5506112849500823
AtmosphericRegime,Sparse KFs with gamma=0.001,SMAPE,0.0086730700511146
AtmosphericRegime,Sparse KFs with gamma=0.01,MSE,8.087365785431547e-05
AtmosphericRegime,Sparse KFs with gamma=0.01,Hausdorff Distance,0.6043970121963645
AtmosphericRegime,Sparse KFs with gamma=0.01,SMAPE,0.0095163895999285
AtmosphericRegime,Sparse KFs with gamma=0.1,MSE,0.0002824684494384
AtmosphericRegime,Sparse KFs with gamma=0.1,Hausdorff Distance,1.1770513504082547
AtmosphericRegime,Sparse KFs with gamma=0.1,SMAPE,0.0140347280454348
AtmosphericRegime,Sparse KFs with gamma=1.0,MSE,0.00060744984879
AtmosphericRegime,Sparse KFs with gamma=1.0,Hausdorff Distance,1.6164817920435244
AtmosphericRegime,Sparse KFs with gamma=1.0,SMAPE,0.0120976887956184
AtmosphericRegime,Sparse KFs with gamma=10.0,MSE,3.7234488245351975e-05
AtmosphericRegime,Sparse KFs with gamma=10.0,Hausdorff Distance,0.4191154203412803
AtmosphericRegime,Sparse KFs with gamma=10.0,SMAPE,0.0047463743430723
AtmosphericRegime,Trained Gaussian kernel,MSE,0.0001420110518263
AtmosphericRegime,Trained Gaussian kernel,Hausdorff Distance,0.6131058399691457
AtmosphericRegime,Trained Gaussian kernel,SMAPE,0.0059488763811645
AtmosphericRegime,Random Initialization,MSE,43.30469894418069
AtmosphericRegime,Random Initialization,Hausdorff Distance,137.27269763322715
AtmosphericRegime,Random Initialization,SMAPE,0.3347459045039411
AtmosphericRegime,Gaussian kernel with sigma=0.5,MSE,0.000183374611393
AtmosphericRegime,Gaussian kernel with sigma=0.5,Hausdorff Distance,0.6259556494807195
AtmosphericRegime,Gaussian kernel with sigma=0.5,SMAPE,0.0044524019998953
BeerRNN,Regular KFs,MSE,4.286386624918344e-05
BeerRNN,Regular KFs,Hausdorff Distance,0.4688374449957717
BeerRNN,Regular KFs,SMAPE,0.0034724794977738
BeerRNN,Sparse KFs with gamma=0.0001,MSE,5.91762238677628e-06
BeerRNN,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.1368574749430704
BeerRNN,Sparse KFs with gamma=0.0001,SMAPE,0.0002183911655253
BeerRNN,Sparse KFs with gamma=0.001,MSE,5.368528979721565e-05
BeerRNN,Sparse KFs with gamma=0.001,Hausdorff Distance,0.46165783724797
BeerRNN,Sparse KFs with gamma=0.001,SMAPE,0.0024005852886193
BeerRNN,Sparse KFs with gamma=0.01,MSE,2.609881412773497e-06
BeerRNN,Sparse KFs with gamma=0.01,Hausdorff Distance,0.1005128075740798
BeerRNN,Sparse KFs with gamma=0.01,SMAPE,0.0002074515653017
BeerRNN,Sparse KFs with gamma=0.1,MSE,2.0498183315373707e-05
BeerRNN,Sparse KFs with gamma=0.1,Hausdorff Distance,0.2419713898457713
BeerRNN,Sparse KFs with gamma=0.1,SMAPE,0.0021151251911952
BeerRNN,Sparse KFs with gamma=1.0,MSE,2.888373153304316e-06
BeerRNN,Sparse KFs with gamma=1.0,Hausdorff Distance,0.1089299735540782
BeerRNN,Sparse KFs with gamma=1.0,SMAPE,0.0002416467641637
BeerRNN,Sparse KFs with gamma=10.0,MSE,5.840084991015432e-06
BeerRNN,Sparse KFs with gamma=10.0,Hausdorff Distance,0.1671223680199026
BeerRNN,Sparse KFs with gamma=10.0,SMAPE,0.0007328466090787
BeerRNN,Trained Gaussian kernel,MSE,2.781951648256738e-05
BeerRNN,Trained Gaussian kernel,Hausdorff Distance,0.2887230310087593
BeerRNN,Trained Gaussian kernel,SMAPE,0.0016897196308709
BeerRNN,Random Initialization,MSE,0.2689845773290177
BeerRNN,Random Initialization,Hausdorff Distance,31.772717359995948
BeerRNN,Random Initialization,SMAPE,0.1042578930350151
BeerRNN,Gaussian kernel with sigma=0.5,MSE,0.0229760649472107
BeerRNN,Gaussian kernel with sigma=0.5,Hausdorff Distance,10.183156838140786
BeerRNN,Gaussian kernel with sigma=0.5,SMAPE,0.0037918121290141
