Name,res_type,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,lasso_gamma
KawczynskiStrizhak,Gaussian kernel with sigma=0.5,8.58661216333399e-08,0.9999999796910642,0.0001758879231219,0.0126496114630897,0.0
Laser,Sparse KFs with gamma=10.0,8.366450212681705e-08,0.9999999428412228,0.0002617237958057,0.0180141609456649,10.0
LiuChen,Sparse KFs with gamma=1.0,0.00051822926142155,0.9995028958261071,0.4921848179442165,1.4079997112711695,1.0
Lorenz,Sparse KFs with gamma=0.0001,2.019748701654407e-08,0.9999999916102505,0.00015884700725463327,0.009006199663958266,0.0001
Lorenz84,Sparse KFs with gamma=0.0001,1.0229528997966923e-07,0.9999999025146633,0.00038432006023370003,0.019527722656507564,0.0001
Lorenz96,Sparse KFs with gamma=0.001,3.570521667743504e-07,0.9999996385541446,0.0014636083557664,0.026889859444966302,0.001
LorenzBounded,Sparse KFs with gamma=0.0001,3.0147673323354905e-08,0.9999999886077539,0.0001729236957802667,0.011658013576640933,0.0001
LorenzCoupled,Sparse KFs with gamma=0.0001,9.424256181444727e-09,0.9999999961635293,0.00010915139762186668,0.008928204728117667,0.0001
LorenzStenflo,Sparse KFs with gamma=10.0,1.103989751852575e-08,0.9999999972169102,0.0001714488680269,0.008060318117485234,10.0
LuChen,Sparse KFs with gamma=0.1,2.431833851216275e-08,0.999999992955582,0.00013185959053340623,0.010332542637752,0.10000000000000002
LuChenCheng,Sparse KFs with gamma=1.0,6.711532540441381e-09,0.9999999945700093,0.00011525997253020001,0.005056278768779533,1.0
MacArthur,Sparse KFs with gamma=0.001,1.0029778763548308e-05,0.9999983232210292,0.00023433482240876665,0.33564203013337734,0.001
MackeyGlass,Sparse KFs with gamma=1.0,2.2386038874824453e-06,0.9999977553815063,0.0002213988819038284,0.09893693322712611,1.0
MooreSpiegel,Sparse KFs with gamma=0.0001,2.215965253401763e-08,0.9999999772120124,0.00017741007396406667,0.011566025120452699,0.0001
MultiChua,Sparse KFs with gamma=0.0001,1.50466794524563e-08,0.9999999958698821,0.0002541328363294667,0.010167933217260066,0.0001
NewtonLiepnik,Sparse KFs with gamma=0.0001,1.4550147639810286e-08,0.9999999946153313,0.00011972410186402792,0.008164066491350267,0.0001
NoseHoover,Sparse KFs with gamma=1.0,2.8284397802643273e-09,0.9999999973594438,0.00014550919705953334,0.0035310179436575666,1.0
NuclearQuadrupole,Sparse KFs with gamma=0.1,4.71729621455354e-08,0.9999999533866756,0.0004502469488462005,0.013551142405484733,0.10000000000000002
OscillatingFlow,Sparse KFs with gamma=0.0001,1.4089632267694682e-06,0.9999991746663998,0.0011723892903192667,0.06840888420491796,0.0001
PanXuZhou,Sparse KFs with gamma=10.0,2.95237267630728e-07,0.999999862283507,0.00024445099830406664,0.0230934963630354,10.0
PehlivanWei,Sparse KFs with gamma=1.0,7.064289569055464e-08,0.9999999373798277,0.00030745465711173333,0.0114162365473396,1.0
PiecewiseCircuit,Sparse KFs with gamma=0.001,4.339049619737153e-05,0.999956483712797,0.009002891368201434,0.5301029312327732,0.001
Qi,Sparse KFs with gamma=0.001,5.429992716561577e-07,0.9999999773114371,0.0011364717101167666,0.04422723508507973,0.001
QiChen,Sparse KFs with gamma=0.1,4.89662346914489e-08,0.9999999970757792,0.00021680314271106668,0.013928223572865966,0.10000000000000002
RabinovichFabrikant,Sparse KFs with gamma=0.0001,2.0364343339775435e-08,0.9999999966082628,0.0001125991092908065,0.009609775645253999,0.0001
RayleighBenard,Sparse KFs with gamma=0.01,9.23982752163651e-09,0.9999999965984978,8.639757489436603e-05,0.006823616910364799,0.01
RikitakeDynamo,Sparse KFs with gamma=1.0,6.9443360996885214e-09,0.9999999962446252,0.0001310903453524,0.005393817519779833,1.0
Rossler,Sparse KFs with gamma=1.0,3.455508679969421e-09,0.9999999966899523,0.0002852519108025333,0.005141782275322467,1.0
Rucklidge,Sparse KFs with gamma=1.0,2.46789429767204e-07,0.9999998786255114,0.0001262527154657,0.023804142590480932,1.0
Sakarya,Sparse KFs with gamma=10.0,6.0310973187871965e-09,0.9999999948734691,0.00014237130232836666,0.005367493209358199,10.0
SaltonSea,Sparse KFs with gamma=0.0001,9.505025134695697e-09,0.9999999969199681,9.679865811960546e-06,0.005629413528027399,0.0001
SanUmSrisuchinwong,Sparse KFs with gamma=0.0001,5.865074345322916e-08,0.9999999435365886,0.0003236729235926333,0.020795248488816333,0.0001
ScrollDelay,Trained Gaussian kernel,2.116245277397707e-06,0.9999978956186394,0.0039543994234797,0.08439020968823553,0.0
ShimizuMorioka,Sparse KFs with gamma=0.01,4.169111797643264e-09,0.9999999972815267,0.00011110659747769224,0.005054458642391366,0.01
SprottA,Sparse KFs with gamma=0.001,4.44682538693787e-09,0.9999999955574795,0.00011660033065317642,0.004387087561348367,0.001
SprottB,Sparse KFs with gamma=10.0,4.933367877747017e-09,0.9999999950168337,0.000147067981623,0.004770013330006266,10.0
SprottC,Sparse KFs with gamma=0.001,2.772023264102298e-09,0.9999999971134924,8.183592436469184e-05,0.0035156756433773,0.001
SprottD,Sparse KFs with gamma=0.1,4.125311327201322e-09,0.9999999980501394,7.987822457800686e-05,0.005433598984522899,0.10000000000000002
SprottDelay,Sparse KFs with gamma=0.1,2.3277531325743768e-07,0.9999996376977472,7.125530259107528e-05,0.039585858048652,0.10000000000000002
SprottE,Sparse KFs with gamma=10.0,1.9715017221818394e-07,0.9999998103261282,0.0002701362608243333,0.021073056704493165,10.0
SprottF,Regular KFs,3.730285460640271e-09,0.9999999977556385,8.161680958572856e-05,0.0047337485593603006,0.0
SprottG,Sparse KFs with gamma=0.1,1.8693183439298792e-09,0.9999999983355977,0.0002546475365882,0.0037208708232752664,0.10000000000000002
SprottH,Sparse KFs with gamma=10.0,1.19786501354085e-08,0.9999999910503857,0.0002559843219103,0.0078405412330212,10.0
SprottI,Sparse KFs with gamma=0.1,1.0988627062039525e-07,0.9999999141328871,0.00048410405044293196,0.020923464258785263,0.10000000000000002
SprottJ,Sparse KFs with gamma=0.0001,1.881854284735799e-09,0.99999999825881,9.197304428725244e-05,0.0032820443146769,0.0001
SprottJerk,Sparse KFs with gamma=1.0,9.787124760035937e-09,0.9999999911275448,0.00027348024435686665,0.007991628165893933,1.0
SprottK,Sparse KFs with gamma=10.0,1.1141743001606547e-08,0.9999999897449748,0.0002241708307926382,0.006283007968451666,10.0
SprottL,Sparse KFs with gamma=10.0,9.564765115289034e-09,0.9999999975312104,6.093515079707767e-05,0.008488549507107533,10.0
SprottM,Sparse KFs with gamma=10.0,2.3131068312669023e-08,0.99999998490471,0.00015459198447333804,0.0091202082118239,10.0
SprottMore,Sparse KFs with gamma=10.0,1.2675219680246695e-05,0.9999814470179912,0.004172550579737466,0.33368836728550666,10.0
SprottN,Sparse KFs with gamma=0.01,4.756254418788164e-09,0.9999999957496893,0.00013081427967488184,0.005188459301895034,0.01
SprottO,Sparse KFs with gamma=0.001,1.3655910292837735e-09,0.9999999988129109,0.00013328763480663334,0.0025589712883759,0.001
SprottP,Sparse KFs with gamma=0.001,8.051213269856976e-10,0.9999999993983435,6.928673792405292e-05,0.002202786256724333,0.001
SprottQ,Sparse KFs with gamma=0.0001,1.9994605195328512e-08,0.9999999815503381,0.00015490419151449294,0.0075942250422787,0.0001
SprottR,Sparse KFs with gamma=1.0,3.578074987306759e-09,0.999999996684526,0.00014940829226023334,0.005133905232001333,1.0
SprottS,Sparse KFs with gamma=0.01,2.1251920239158384e-09,0.9999999983937277,0.00013728220372456667,0.0036153589250681336,0.01
SprottTorus,Regular KFs,2.832796062492451e-06,0.9999982745001305,0.0003042998641330191,0.10362636273776016,0.0
StickSlipOscillator,Sparse KFs with gamma=0.01,6.206014500274997e-09,0.9999999988642497,0.00015985370861240002,0.007367816473511566,0.01
SwingingAtwood,Sparse KFs with gamma=0.001,0.00010750320133855689,0.999955302737768,0.005583444776271,0.8814889915048143,0.001
